id;tenant_id;client_id;client_name;status;reason;created_at;resolved_at;updated_at;outgoing_item_id
1;27784;48452;Loan yellow Grocery;PENDING;Gabon;2026-03-09T06:58:32;2026-03-08T20:26:24;2026-03-09T00:51:34;1
2;93058;72386;Gloves global;RESOLVED;Cotton Implemented;2026-03-08T22:59:23;2026-03-08T19:22:48;2026-03-09T01:08:41;2
3;37310;62499;bluetooth Iowa Wooden;PENDING;Account Steel transmitting;2026-03-09T08:51:00;2026-03-08T20:34:29;2026-03-09T14:38:42;3
4;55525;227;Wooden;CANCELLED;salmon revolutionary;2026-03-08T21:35:39;2026-03-09T02:24:54;2026-03-09T14:47:33;4
5;20755;18900;Marketing Sterling Data;RESOLVED;Iran Crossroad eco-centric;2026-03-09T05:04:30;2026-03-08T17:02:29;2026-03-08T22:18:18;5
6;47923;65579;innovate;RESOLVED;yellow open Savings;2026-03-09T14:58:14;2026-03-09T09:42:33;2026-03-09T09:12:11;6
7;41534;32036;Pound;CANCELLED;e-tailers Avon Towels;2026-03-09T05:07:09;2026-03-08T19:55:05;2026-03-09T14:32:04;7
8;9468;28911;installation Incredible Horizontal;CANCELLED;Quality;2026-03-09T08:03:35;2026-03-09T07:35:20;2026-03-09T16:01:31;8
9;35700;12495;Operations partnerships Account;PENDING;Islands;2026-03-09T06:47:37;2026-03-09T02:01:19;2026-03-09T13:39:59;9
10;57582;23503;feed benchmark collaboration;CANCELLED;Intelligent;2026-03-09T01:24:33;2026-03-09T14:11:13;2026-03-09T03:47:28;10
