id;tenant_id;entity_type;entity_id;doc_type;filename;storage_url;mime_type;size_bytes;uploaded_by_login;created_at;updated_at
1;46695;CLIENT;models target 24/7;CONTRACT;Palau transparent;Operations wireless engage;Chicken Implementation Account;83711;Aruban;2026-03-09T07:19:34;2026-03-09T14:50:34
2;32514;CLIENT;drive;INVOICE;fault-tolerant;Dollar;white;64381;AGP Technician sensor;2026-03-09T02:02:08;2026-03-09T00:32:23
3;93566;INVOICE;clear-thinking utilisation;DELIVERY_NOTE;Tools Computers UIC-Franc;Steel;1080p Uzbekistan payment;21411;Account Guyana;2026-03-09T08:18:02;2026-03-08T23:03:07
4;19760;INVOICE;scalable;DELIVERY_NOTE;up Health;indigo Customer;Frozen New;4558;benchmark;2026-03-09T01:59:34;2026-03-09T11:46:59
5;37079;INVOICE;initiative;OTHER;Product;deposit;Israel;49451;Tugrik Bike;2026-03-09T14:37:40;2026-03-09T06:45:51
6;76668;CLIENT;Indiana;AMENDMENT;Senior pink Shirt;Fords;up Customer;3573;up Solutions Arkansas;2026-03-09T08:52:29;2026-03-09T09:14:01
7;48040;CLIENT;Universal;AUDIT_REPORT;Inverse redefine;Soft systems;Function-based Ford Incredible;1293;efficient;2026-03-09T02:45:14;2026-03-09T09:54:20
8;75050;ORDER;COM Chair;CONTRACT;payment turquoise;architect;connect superstructure Accountability;40470;Corporate incentivize Grocery;2026-03-08T20:01:08;2026-03-09T12:16:36
9;73065;STOCK_AUDIT;invoice Producer;INVOICE;context-sensitive;alarm;Dollar Marketing;93049;Concrete Integration Sleek;2026-03-09T02:37:10;2026-03-09T13:31:05
10;85152;INVOICE;harness;CONTRACT;Handmade reboot Executive;Zambia optical withdrawal;Moroccan;69974;Developer New program;2026-03-08T19:03:35;2026-03-09T09:06:05
