id;tenant_id;sku;name;brand;category;price;tax_rate;is_active;is_deleted;created_at;updated_at
1;23324;Account;website quantify;support navigate;Chilean reboot Dynamic;70131;47;true;true;2026-03-09T09:41:40;2026-03-09T15:02:57
2;88209;Unbranded Soap;applications Metical;throughput;Internal intermediate;30312;49;false;false;2026-03-09T02:05:57;2026-03-08T23:45:29
3;51217;intranet;neutral;Bike;Computer CFP orange;9548;46;true;true;2026-03-08T17:43:01;2026-03-09T08:06:34
4;58781;indigo JSON Mexico;Steel;solutions;Prairie;14557;64;true;false;2026-03-08T17:22:23;2026-03-09T12:54:31
5;22423;Shoes;Ball pixel;Account;Cheese Consultant online;80952;30;true;false;2026-03-08T20:47:30;2026-03-09T12:31:21
6;8650;Arizona mobile;AGP lavender;navigate brand up;systems Gorgeous;6953;94;false;false;2026-03-09T01:04:47;2026-03-09T13:35:47
7;27583;Cambridgeshire Chair;Ukraine;Chicken Account transmit;clicks-and-mortar;3551;89;true;true;2026-03-09T03:56:53;2026-03-09T03:18:42
8;1215;Rustic magenta transitional;bypassing Chief interactive;online Home Vista;Sausages Tuna;42121;33;true;true;2026-03-09T14:08:31;2026-03-09T05:20:50
9;67453;executive;Assistant Berkshire program;Accounts Borders;Concrete capability synthesizing;19001;34;false;false;2026-03-08T18:18:27;2026-03-09T09:25:27
10;33901;Phased;Brunei sky;Engineer generating;portals Berkshire intuitive;67526;14;false;false;2026-03-09T02:20:37;2026-03-09T03:18:22
